Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
4,Aaron Blair,AZ,RHP,60,50,55,,50,55,-0.7,
5,Stryker Trahan,AZ,C,45,55,45,60,45,45,0,
6,Jose Martinez,AZ,RHP,65,55,45,,45,45,0,
7,Jake Lamb,AZ,3B,55,50,40,60,60,55,8.1,15
8,Brandon Drury,AZ,3B,45,50,40,55,45,50,3.5,3.5
9,Matt Stites,AZ,RHP,70,,40,60,60,45,-0.6,
10,Jake Barrett,AZ,RHP,70,,40,60,50,45,-0.2,
11,Zeke Spruill,AZ,RHP,55,,50,45,50,45,0.2,
12,Sergio Alcantara,AZ,SS,45,30,50,70,55,45,0.9,2
13,Andrew Chafin,AZ,LHP,50,,50,55,45,45,4,7
14,Felipe Perez,AZ,RHP,55,45,45,,55,45,0,
15,James Sherfy,AZ,RHP,65,,45,55,45,45,0.2,
16,Daniel Gibson,AZ,LHP,60,40,45,55,50,45,0,
17,Justin Williams,AZ,OF,40,60,40,50,45,45,-0.7,
18,Joe Munoz,AZ,3B,45,40,40,55,50,45,0,
19,Nick Ahmed,AZ,SS,40,30,60,60,55,45,10.6,12
20,Kevin Munson,AZ,RHP,60,,,60,40,45,0,
3,Jason Hursh,ATL,RHP,65,,50,50,55,50,0,
4,Jose Peraza,ATL,2B,50,30,70,50,60,55,4.4,4.5
5,Mauricio Cabrera,ATL,RHP,70,,45,55,45,50,0.7,
6,JR Graham,ATL,RHP,70,,50,55,60,45,-0.1,
7,Tommy La Stella,ATL,2B,60,30,40,50,50,50,4.8,4
8,Victor Caratini,ATL,C,55,45,40,60,45,50,2.9,4.5
9,David Hale,ATL,RHP,55,,50,55,50,50,1.4,
10,Cody Martin,ATL,RHP,50,55,50,,50,45,-0.7,
11,Kyle Kubitza,ATL,3B,45,50,40,60,50,45,-0.4,
12,Ian Thomas,ATL,LHP,50,50,55,,50,45,0.4,
13,Johan Camargo,ATL,SS,55,30,45,60,50,45,4.0,3
14,Carlos Salazar,ATL,RHP,60,40,55,45,50,45,0,
15,Edward Salcedo,ATL,3B,40,50,40,60,50,45,0,
16,Aaron Northcraft,ATL,RHP,50,40,45,50,45,45,-0.1,
17,Todd Cunningham,ATL,OF ,45,30,60,50,60,45,-0.1,
18,Kyle Wren,ATL,OF ,50,30,60,45,50,45,0,
19,Shae Simmons,ATL,RHP,60,50,45,,45,45,0.3,
20,Alec Grosser,ATL,RHP,60,,45,50,50,45,0,
4,Hunter Harvey,BAL,RHP,65,55,45,,50,60,2.4,
5,Jonathan Schoop,BAL,2B,50,45,40,60,50,50,10.9,16
6,Josh Hart,BAL,OF,50,30,60,45,60,50,0,
7,Mike Wright Jr,BAL,RHP,60,40,50,50,55,50,-0.2,
8,Tim Berry,BAL,LHP,55,50,50,,50,50,0,
9,Mike Ohlman,BAL,C,45,50,30,50,45,45,-0.1,
10,Chance Sisco,BAL,C,50,45,30,50,50,50,-0.8,
11,Adrian Marin,BAL,SS,45,30,55,50,50,45,0,
12,Stephen Tarpley,BAL,LHP,60,50,45,50,50,45,-0.2,
13,Francisco Peguero,BAL,OF,50,40,55,60,50,45,0.1,
14,Zach Davies,BAL,RHP,50,50,60,40,55,45,9.2,15
15,Christian Walker,BAL,OF,50,50,20,40,45,50,12.4,8
16,Branden Kline,BAL,RHP,55,,40,50,45,45,0,
17,Parker Bridwell,BAL,RHP,55,50,50,,40,45,0.4,
18,Michael Almanzar,BAL,3B,40,50,30,50,45,45,0,
19,Mike Belfiore,BAL,LHP,50,,40,50,45,45,-0.1,
20,Ofelky Peralta,BAL,RHP,65,40,40,40,45,45,0,
10,Anthony Ranaudo,BOS,RHP,60,60,45,,50,55,-1.5,
11,Manuel Margot,BOS,OF,55,40,65,50,60,50,9.2,11
12,Christian Vazquez,BOS,C,45,40,20,60,50,50,12.2,9
13,Rafael Devers,BOS,3B,50,60,40,50,45,50,10.7,33
14,Brian Johnson,BOS,LHP,55,55,50,,50,50,0.5,
15,Deven Marrero,BOS,SS,45,40,55,60,60,50,-1.5,
16,Wendell Rijo,BOS,2B,55,40,50,45,55,45,0,
17,Bryce Brentz,BOS,OF,40,55,40,60,45,45,0,
18,Cody Kukuk,BOS,LHP,65,,45,55,40,45,0,
19,Teddy Stankiewicz,BOS,RHP,60,,45,55,55,45,0,
20,Jamie Callahan,BOS,RHP,60,50,40,50,55,45,0.2,
8,Arodys Vizcaino,CHC,RHP,70,65,45,,55,50,1.8,9
9,Jeimer Candelario,CHC,3B,55,50,30,55,45,50,11.5,12
10,Daniel Vogelbach,CHC,1B,55,60,20,40,30,50,2.1,1.5
11,Christian Villanueva,CHC,3B,40,50,40,60,60,45,1.9,
12,Eloy Jimenez,CHC,OF,55,60,50,60,50,50,5.4,35
13,Neil Ramirez,CHC,RHP ,60,50,55,50,40,45,-0.3,
14,Mike Olt,CHC,3B,40,55,30,60,55,45,-1.6,
15,Paul Blackburn,CHC,RHP,55,55,50,,45,45,3.3,1
16,Kyle Hendricks,CHC,RHP,45,45,55,,65,45,20.9,22
17,Corey Black,CHC,RHP,65,50,45,55,45,45,0,
18,Jacob Hannemann,CHC,OF,45,45,65,30,50,45,-0.2,
19,Tyler Skulina,CHC,RHP,60,45,40,55,45,45,0,
20,Gleyber Torres,CHC,INF,50,45,50,60,50,45,13.8,13
3,Tim Anderson,CWS,SS,55,40,70,55,55,55,17.2,23
4,Marcus Semien,CWS,SS,55,45,50,50,50,50,15.4,21
5,Micah Johnson,CWS,2B,55,35,80,50,50,50,-0.4,
6,Tyler Danish,CWS,RHP,65,,55,50,50,50,-0.7,
7,Courtney Hawkins,CWS,OF,45,60,60,60,55,50,0,
8,Trayce Thompson,CWS,OF,40,50,50,50,55,45,3,1
9,Jacob May,CWS,OF,50,40,75,40,55,45,-0.6,
10,Chris Beck,CWS,RHP,60,40,55,50,50,45,-1.8,
11,Daniel Webb,CWS,RHP,70,,50,45,40,45,-0.4,
12,Adam Lopez,CWS,RHP,60,,45,55,45,45,0,
13,Yolmer Sanchez,CWS,2B,50,30,50,55,55,50,4.2,1
14,Adam Engel,CWS,OF,45,50,70,45,60,45,4.9,3
15,Keon Barnum,CWS,1B,40,65,30,55,50,45,0,
16,Micker Adolfo,CWS,OF,40,60,45,60,45,45,0,
17,Chris Bassitt,CWS,RHP,60,40,45,40,45,45,12.3,14
18,Andrew Mitchell,CWS,RHP,60,65,40,,40,45,0,
19,Frankie Montas,CWS,RHP,70,,45,55,45,50,9.8,14
20,Braulio Ortiz,CWS,RHP,70,,45,35,40,45,0,
3,Phillip Ervin,CIN,OF,60,55,60,55,50,50,1.1,
4,Jesse Winker,CIN,OF,60,55,40,40,45,55,6.4,16
5,Michael Lorenzen,CIN,RHP,65,,40,50,45,50,3.2,9
6,Carlos Contreras,CIN,RHP,65,,55,45,40,50,-0.4,
7,David Holmberg,CIN,LHP,45,45,60,50,55,45,-2.5,
8,Nick Travieso,CIN,RHP,55,,45,50,45,45,0,
9,Yorman Rodriguez,CIN,OF,45,50,60,65,50,45,-0.2,
10,Ismael Guillon,CIN,LHP,60,40,60,,40,45,0,
11,Daniel Corcino,CIN,RHP,55,,50,45,40,45,0.2,
12,Tucker Barnhart,CIN,C,40,30,30,60,60,45,4.0,14
13,Ben Lively,CIN,RHP,55,50,50,55,55,50,1.4,
14,Jeremy Kivel,CIN,RHP,65,,40,50,40,45,0,
15,Sal Romano,CIN,RHP,55,45,40,,40,45,1.8,
16,Jackson Stephens,CIN,RHP,60,50,40,50,45,45,0.2,
17,Chad Rogers,CIN,RHP,50,,40,45,50,45,0,
18,Junior Arias,CIN,OF,40,45,70,55,50,45,0,
19,Jacob Constante,CIN,LHP,60,,40,50,40,45,0,
20,Amir Garrett,CIN,LHP,50,45,45,,40,45,0.3,4
4,Cody Anderson,CLE,RHP,60,55,45,,50,45,1.3,
5,Tyler Naquin,CLE,OF,55,40,60,60,55,50,3.3,5
6,Dorssys Paulino,CLE,OF,50,40,50,50,50,45,0,
7,Francisco Mejia,CLE,C,50,40,30,70,50,50,1.2,3
8,Jose Ramirez,CLE,2B,55,30,65,50,50,50,28.5,24
9,Tony Wolters,CLE,C,50,30,40,50,50,45,1.7,2
10,Carlos Moncrief,CLE,OF,45,55,50,60,50,45,-0.3,
11,Joey Wendle,CLE,2B,55,40,45,50,50,45,9.2,11
12,Erik Gonzalez,CLE,SS,40,30,60,65,60,45,-0.3,1
13,Ronny Rodriguez,CLE,2B,45,40,50,55,50,45,-0.3,
14,CC Lee,CLE,RHP,60,,,50,50,45,-0.1,
15,Dace Kime,CLE,RHP,60,60,45,,45,45,0,
16,Dylan Baker,CLE,RHP,60,,45,55,45,45,0,
17,Kyle Crockett,CLE,LHP,55,,45,55,65,45,1.0,
18,Sean Brady,CLE,LHP,50,50,50,,50,45,0,
19,Jesus Aguilar,CLE,1B,40,55,20,45,45,45,4.3,13
20,Luigi Rodriguez,CLE,OF,45,35,60,50,50,45,0,
4,Rossell Herrera,COL,OF,60,50,40,60,50,50,0,
5,Ryan McMahon,COL,2B,55,50,40,55,50,50,7.5,33
6,Kyle Parker,COL,1B,50,60,40,55,50,50,-1.1,
7,Tom Murphy ,COL,C,45,50,30,55,50,45,5.7,2
8,Chad Bettis,COL,RHP,60,40,55,50,45,50,5,6
9,Raimel Tapia,COL,OF,50,40,55,60,50,55,1.4,7
10,Trevor Story,COL,INF,45,40,50,50,45,45,21.3,30
11,Tyler Anderson,COL,LHP,50,45,60,45,50,45,7.9,13
12,Sam Moll,COL,LHP,60,55,40,,45,45,1.0,
13,Tyler Matzek,COL,LHP,60,45,40,50,40,45,3.4,1
14,Emerson Jimenez,COL,SS,45,30,60,60,55,45,0,
15,Cristhian Adames,COL,SS,40,30,30,60,55,45,-1.1,
16,Rayan Gonzalez,COL,RHP,65,,50,,45,45,0,
17,Scott Oberg,COL,RHP ,60,55,45,,40,45,2.3,13
18,Jayson Aquino,COL,LHP,45,55,55,,45,45,0,
19,Raul Fernandez,COL,RHP,70,,45,44,40,45,0,
20,Will Swanner,COL,C,40,50,30,50,40,45,0,
3,Devon Travis,DET,2B,60,40,50,50,55,50,4.6,2.5
4,Jake Thompson,DET,RHP,60,60,50,,50,50,-0.4,
5,Jonathon Crawford,DET,RHP,65,,45,55,45,50,0,
6,Corey Knebel,DET,RHP,70,65,45,,50,50,4.3,12
7,Eugenio Suarez,DET,SS,50,40,45,60,50,50,17.3,25
8,Domingo Leyba,DET,SS,55,40,50,50,50,50,-0.8,
9,James McCann,DET,C,45,40,30,55,55,45,3.6,8.5
10,Hernan Perez,DET,SS,50,35,50,50,50,45,1.9,3.5
11,Casey Crosby,DET,LHP,60,55,45,,40,45,-0.1,
12,Jose Valdez,DET,RHP ,75,,,60,40,45,-1.2,4
13,Drew VerHagen,DET,RHP,60,50,45,,50,45,-0.5,
14,Kevin Ziomek,DET,LHP,55,,55,50,45,45,0,
15,Endures Briceno,DET,RHP,60,50,35,,40,45,0,
16,Melvin Mercedes,DET,RHP,70,,,60,45,45,0,
17,Tyler Collins,DET,OF,50,50,40,50,50,45,0,
18,Daniel Fields,DET,OF,45,45,45,40,50,45,-0.1,
19,Javier Betancourt,DET,2B,55,40,45,50,50,45,0,
20,Steven Moya,DET,OF,40,60,50,60,45,45,-0.5,
8,Domingo Santana,HOU,OF,45,60,50,60,50,55,4.6,2
9,Vince Velasquez,HOU,RHP,60,50,60,,50,55,6.9,8
10,Michael Feliz,HOU,RHP,65,,50,55,50,55,1.0,
11,Rio Ruiz,HOU,3B,55,55,30,55,50,50,-1.0,
12,Max Stassi,HOU,C,40,55,30,55,50,45,6.2,6
13,Teoscar Hernandez,HOU,OF,50,50,60,55,50,50,12.6,27
14,Asher Wojciechowski,HOU,RHP,55,,50,50,50,45,1.3,
15,Josh Hader,HOU,LHP,60,,50,45,45,50,11.3,33
16,Andrew Thurman,HOU,RHP,60,45,55,50,50,45,0,
17,Nick Tropeano,HOU,RHP,60,,55,45,50,50,1.5,1
18,Nolan Fontana,HOU,SS,45,30,50,50,50,45,-0.3,
19,Kyle Smith,HOU,RHP,50,60,50,,55,45,0,
20,Danry Vasquez,HOU,OF,55,45,40,40,40,45,0,
5,Sean Manaea,KCR,LHP,65,,50,55,50,55,12.1,21
6,Miguel Almonte,KCR,RHP,60,45,60,,50,55,-0.5,
7,Hunter Dozier,KCR,3B,55,60,45,60,55,55,-0.4,22
8,Bubba Starling,KCR,OF,40,50,60,60,60,45,-1.0,
9,Jason Adam,KCR,RHP,65,45,45,50,45,45,1.8,1
10,Orlando Calixte,KCR,SS,40,40,50,60,55,45,-0.8,
11,Elier Hernandez,KCR,OF,50,45,45,55,45,45,-0.2,
12,Christian Binford,KCR,RHP,50,40,50,,60,50,0,
13,Sam Selman,KCR,LHP,60,,40,50,40,45,-0.3,
14,Donnie Joseph,KCR,LHP,55,,,65,40,45,0,
15,Cody Reed,KCR,LHP,,,,,,,-0.1,
16,Christian Colon,KCR,2B,50,35,40,45,50,45,0.5,
17,Zane Evans,KCR,C,50,50,30,60,45,45,0,
18,Chris Dwyer,KCR,LHP,45,50,50,,40,45,0,
19,Humberto Arteaga,KCR,SS,40,30,40,55,55,45,-0.9,
20,Cheslor Curthbert,KCR,3B,40,45,30,60,50,45,-0.8,
1,Kaleb Cowart,LAA,INF,40,50,40,60,55,45,-1.5,
2,Taylor Lindsey ,LAA,2B,50,45,40,45,50,50,0,
3,CJ Cron,LAA,1B,55,60,20,50,40,50,5.8,11.5
4,Mark Sappington,LAA,RHP,70,,45,50,40,45,0,
5,Hunter Green,LAA,LHP,60,55,45,,45,45,0,
6,Jose Rondon,LAA,SS,55,30,55,55,50,50,-0.9,
7,RJ Alvarez,LAA,RHP,70,,40,55,45,45,-0.7,
8,Ricardo Sanchez,LAA,LHP,55,50,45,,45,45,-0.1,
9,Alex Yarbrough,LAA,2B,55,35,45,40,45,45,0,
10,Mike Morin,LAA,RHP,50,,50,40,55,45,2.2,
11,Zach Borenstein,LAA,OF,45,55,40,40,50,45,0,
12,Mike Clevinger,LAA,RHP,50,50,55,55,45,45,12.1,13
13,Nick Maronde,LAA,LHP,60,,40,50,40,45,-0.3,
14,Cam Bedrosian,LAA,RHP,60,,40,50,45,45,2.6,4
15,Natanael Delgado,LAA,OF ,45,50,40,50,50,45,0,
16,Eric Stamets,LAA,SS,45,20,70,60,55,45,-0.6,
17,Jose Alvarez,LAA,LHP ,45,40,55,45,55,45,3.0,4
18,Ryan Brasier,LAA,RHP,70,,40,45,45,45,3.1,3
19,Victor Alcantara,LAA,RHP,70,,40,45,40,45,-0.4,
20,Mike Fish,LAA,OF,55,40,50,45,50,45,0,
4,Zach Lee,LAD,RHP,55,40,55,50,55,50,-0.1,
5,Chris Anderson,LAD,RHP,65,45,50,55,45,50,0,
6,Chris Reed,LAD,LHP,50,,50,50,45,50,0,
7,Tom Windle,LAD,LHP,55,,40,60,50,50,0,
8,Onelki Garcia,LAD,LHP,60,60,40,,40,45,-0.3,
9,Ross Stripling,LAD,RHP,55,55,45,50,55,45,8.7,7
10,Pedro Baez,LAD,RHP,65,,45,50,45,45,3.8,5.5
11,Jose Dominguez,LAD,RHP,80,,,45,40,45,-0.5,
12,Matt Magill,LAD,RHP,60,,40,50,45,45,-0.7,
13,Zack Bird,LAD,RHP,60,50,45,45,40,45,0,
14,Jacob Scavuzzo,LAD,OF ,45,55,60,45,50,45,0,
15,Scott Schebler,LAD,OF,50,50,55,45,50,50,3.0,0.5
16,Yimi Garcia,LAD,RHP,60,,45,45,50,45,1.2,2
17,Cody Bellinger,LAD,1B,55,45,50,50,60,45,21.6,60
18,Victor Gonzalez,LAD,LHP,55,40,50,,45,45,1.1,
19,Darnell Sweeney,LAD,OF,50,40,60,55,50,45,-0.4,
20,Kyle Farmer,LAD,3B,45,40,40,60,45,45,5.4,7.5
5,Adam Conley,MIA,LHP,65,,60,50,50,50,2.6,1.5
6,Anthony DeSclafani,MIA,RHP,60,,45,55,55,50,8.6,7
7,Brian Flynn,MIA,LHP,50,40,50,50,50,45,0.2,
8,Jose Urena,MIA,RHP,65,,50,45,55,45,3,8.5
9,JT Realmuto,MIA,C,50,40,35,55,55,50,18.7,16.5
10,Trevor Williams,MIA,RHP,55,,50,50,60,50,7.4,7.5
11,Avery Romero,MIA,2B,55,45,40,60,50,50,0,
12,Colby Suggs,MIA,RHP,70,55,40,,45,45,0,
13,Nick Wittgren,MIA,RHP,60,55,40,,60,45,1.3,3
14,Sam Dyson,MIA,RHP,60,,50,45,50,45,3.0,11.5
15,Jesus Solorzano,MIA,OF,50,50,55,50,50,50,0,
